breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
daniff,,0.3,53.5,70.0,29.5,31.0,147.5,175.0,0,great dane,mastiff
dashalier,,0.5,26.0,40.0,8.5,12.5,15.5,26.0,0,dachshund,cavalier king charles spaniel
daug,,0.4,33.5,60.0,8.5,10.5,15.0,27.0,0,dachshund,pug
deerhound shepherd,,0.725,13.5,22.0,25.0,29.0,75.0,100.0,0,scottish deerhound,german shepherd
doberman greyhound,,0.725,13.5,22.0,26.5,29.0,60.0,85.0,0,doberman pinscher,greyhound
doberdane,,0.725,13.5,22.0,29.0,30.0,90.0,130.0,0,doberman pinscher,great dane
doberdor,,0.95,1.0,4.0,23.5,26.0,57.5,90.0,0,doberman pinscher,labrador retriever
doberghan,,0.525,41.0,52.0,25.5,27.5,55.0,80.0,0,doberman pinscher,afghan hound
doberman bulldog,,0.525,41.0,52.0,19.0,22.0,55.0,80.0,0,doberman pinscher,bulldog
doberman collie,,0.8999999999999999,3.0,9.5,24.0,27.0,55.0,87.5,0,doberman pinscher,collie
doberman pit,,0.825,8.5,14.5,21.5,23.5,50.0,75.0,0,doberman pinscher,american pit bull terrier
doberman shepherd,,0.95,1.0,4.0,24.0,27.0,67.5,95.0,0,doberman pinscher,german shepherd
dobie-basset,,0.525,41.0,52.0,20.0,21.0,50.0,75.0,0,doberman pinscher,basset hound
dobie foxhound,,0.725,13.5,22.0,24.0,26.5,62.5,85.0,0,doberman pinscher,american foxhound
dobie heeler,,0.95,1.0,4.0,21.5,24.0,47.5,72.5,0,doberman pinscher,australian cattle dog
dobieton,,0.725,13.5,22.0,20.0,21.5,37.5,62.5,0,doberman pinscher,boston terrier
dobocker,,0.8999999999999999,3.0,9.5,20.5,22.0,41.0,64.0,0,doberman pinscher,cocker spaniel
dobsky,,0.625,21.0,42.0,23.0,26.0,60.0,82.5,0,doberman pinscher,old english sheepdog
docker,,0.675,15.5,27.5,11.0,13.0,19.0,30.0,0,dachshund,cocker spaniel
dogue brasileiro,,0.4,33.5,60.0,21.0,23.5,57.5,70.0,0,bull terrier,boxer
dorkie,,0.6,21.0,32.5,7.5,9.0,9.5,19.5,0,dachshund,yorkshire terrier
